verano_fin,label,anom_sst_c,cat_mhw_max,oni_medio,sam_medio,caudal_m3s,factores_riesgo,fan_conocido
1994,1993-94,-0.083,0,0.134,0.71,,1,False
1995,1994-95,0.182,1,0.72,0.682,,3,False
1996,1995-96,0.165,2,-0.722,0.387,,2,False
1997,1996-97,-0.204,0,-0.234,0.069,,0,False
1998,1997-98,0.449,3,1.798,0.526,,4,False
1999,1998-99,-0.09,0,-1.294,0.804,,1,False
2000,1999-00,-0.1,0,-1.32,0.809,,1,False
2001,2000-01,-0.295,0,-0.544,-0.413,,0,False
2002,2001-02,-0.274,0,-0.028,0.379,,0,False
2003,2002-03,0.042,2,0.606,0.0,,3,False
2004,2003-04,0.142,1,0.286,-0.223,,1,False
2005,2004-05,0.215,1,0.558,0.131,,2,False
2006,2005-06,0.051,1,-0.68,-0.302,,1,False
2007,2006-07,0.11,3,0.276,-0.195,,2,False
2008,2007-08,-0.116,1,-1.412,0.8,,1,False
2009,2008-09,0.341,3,-0.662,0.649,,3,False
2010,2009-10,-0.315,0,1.094,-0.088,,1,False
2011,2010-11,-0.325,0,-1.062,0.033,,0,False
2012,2011-12,-0.083,1,-0.606,0.963,,1,False
2013,2012-13,-0.001,1,-0.216,0.402,,0,False
2014,2013-14,-0.285,0,-0.148,0.156,,0,False
2015,2014-15,-0.047,1,0.706,1.003,,2,False
2016,2015-16,0.234,2,2.084,0.912,,4,True
2017,2016-17,0.545,2,-0.034,-0.187,,2,False
2018,2017-18,-0.218,0,-0.66,0.455,,0,False
2019,2018-19,-0.313,0,0.856,0.437,,1,False
2020,2019-20,0.19,2,0.552,-0.073,,3,False
2021,2020-21,-0.038,2,-0.808,0.957,,2,True
2022,2021-22,-0.097,2,-0.858,0.943,,2,False
2023,2022-23,-0.348,0,-0.258,0.676,,1,False
2024,2023-24,-0.09,2,1.536,0.884,,3,False
2025,2024-25,-0.108,0,-0.23,0.139,,0,False
2026,2025-26,0.205,3,-0.088,0.113,,2,False
