inicio,fin,duracion_dias,intensidad_media_c,intensidad_max_c
1993-09-09,1993-09-14,6,0.39,0.44
1993-10-22,1993-11-02,12,0.99,1.51
1994-12-15,1994-12-20,6,1.09,1.35
1995-02-08,1995-02-15,8,0.88,0.98
1995-04-11,1995-04-15,5,0.82,0.97
1995-12-16,1995-12-23,8,1.28,1.65
1996-01-02,1996-01-11,10,0.77,0.95
1997-08-26,1997-09-01,7,0.46,0.52
1997-09-20,1997-09-26,7,0.65,0.78
1997-10-31,1997-11-05,6,0.69,0.94
1997-11-22,1997-11-29,8,1.07,1.38
1998-02-19,1998-03-02,12,1.72,2.59
1998-03-23,1998-03-29,7,1.07,1.36
1998-04-02,1998-04-23,22,0.79,1.03
1998-04-27,1998-09-09,136,0.89,1.52
1998-09-13,1998-10-16,34,0.75,1.05
1998-12-22,1998-12-31,10,1.07,1.35
1999-01-12,1999-01-17,6,0.95,1.11
1999-03-10,1999-03-14,5,0.92,1.09
1999-03-24,1999-03-29,6,0.94,1.25
1999-10-17,1999-10-26,10,0.66,0.95
2003-02-09,2003-02-13,5,0.82,1.03
2004-06-14,2004-06-18,5,0.85,0.97
2004-08-04,2004-08-09,6,0.55,0.68
2004-08-17,2004-08-22,6,0.46,0.49
2004-11-08,2004-11-13,6,1.13,1.44
2004-11-21,2004-11-25,5,0.83,1.08
2005-02-18,2005-02-23,6,1.01,1.1
2005-11-05,2005-11-15,11,1.02,1.65
2005-12-23,2005-12-27,5,0.97,1.14
2006-01-17,2006-01-27,11,1.27,1.83
2006-07-17,2006-07-21,5,0.56,0.62
2006-10-15,2006-10-23,9,0.58,0.72
2007-02-12,2007-02-16,5,1.23,1.32
2007-03-14,2007-03-19,6,1.56,1.99
2008-11-30,2008-12-08,9,1.85,2.87
2009-01-19,2009-01-28,10,0.97,1.19
2009-04-18,2009-04-30,13,0.52,0.71
2013-02-05,2013-02-11,7,1.3,1.53
2015-06-01,2015-06-10,10,0.78,0.99
2015-07-29,2015-08-05,8,0.41,0.52
2015-12-01,2015-12-06,6,1.3,1.72
2016-01-01,2016-01-05,5,1.29,1.57
2016-01-30,2016-02-07,9,1.49,2.27
2016-05-09,2016-05-20,12,0.62,0.77
2016-05-26,2016-06-03,9,0.7,0.89
2016-06-14,2016-06-19,6,0.66,0.77
2016-06-23,2016-07-30,38,0.67,1.13
2016-09-01,2016-09-18,18,0.53,0.94
2016-10-06,2016-10-10,5,0.64,0.71
2016-10-18,2016-10-29,12,0.66,1.21
2017-01-24,2017-01-28,5,1.46,1.78
2017-03-05,2017-03-17,13,0.9,1.18
2017-03-21,2017-03-26,6,1.05,1.42
2017-04-16,2017-04-22,7,0.67,0.84
2017-05-02,2017-05-16,15,0.68,0.85
2017-05-21,2017-05-25,5,0.56,0.6
2017-07-04,2017-07-09,6,0.48,0.58
2017-08-16,2017-08-21,6,0.58,0.67
2018-02-23,2018-02-28,6,1.31,1.78
2020-03-18,2020-03-23,6,0.74,0.87
2020-03-28,2020-04-05,9,1.03,1.54
2020-04-30,2020-05-04,5,0.63,0.75
2020-05-08,2020-05-12,5,0.52,0.59
2020-05-17,2020-05-26,10,0.56,0.75
2020-06-07,2020-06-23,17,0.72,0.84
2020-07-05,2020-07-09,5,0.5,0.52
2020-08-01,2020-08-15,15,0.54,0.77
2020-12-07,2020-12-11,5,1.09,1.26
2021-01-21,2021-01-27,7,1.3,1.49
2021-07-23,2021-07-29,7,0.51,0.58
2021-09-02,2021-09-10,9,0.42,0.54
2023-01-14,2023-01-18,5,0.67,0.84
2025-08-17,2025-08-21,5,0.61,0.72
2025-10-27,2025-11-03,8,0.87,1.11
2025-11-21,2025-12-04,14,1.62,2.56
2026-06-02,2026-06-08,7,0.74,1.13
